Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
160	-3,e-003	5,e-002	2,e-002	2,5166e-006
161	-1,5e-003	4,7402e-002	2,e-002	2,7346e-006
162	1,5e-003	4,7402e-002	2,e-002	2,7319e-006
163	-4,8733e-002	3,6739e-019	2,e-002	2,7825e-006
164	-5,0233e-002	2,5981e-003	2,e-002	2,6222e-006
165	-5,3233e-002	2,5981e-003	2,e-002	2,412e-006
166	-5,4733e-002	8,6736e-019	2,e-002	2,342e-006
167	-5,3233e-002	-2,5981e-003	2,e-002	2,3753e-006
168	-5,0233e-002	-2,5981e-003	2,e-002	2,6442e-006
169	5,4733e-002	3,6739e-019	2,e-002	2,5391e-006
170	5,3233e-002	2,5981e-003	2,e-002	2,5591e-006
171	5,0233e-002	2,5981e-003	2,e-002	2,6993e-006
172	4,8733e-002	8,6736e-019	2,e-002	2,8259e-006
173	5,0233e-002	-2,5981e-003	2,e-002	2,7269e-006
174	5,3233e-002	-2,5981e-003	2,e-002	2,5989e-006
175	3,e-003	-5,e-002	0,	0,
176	1,5e-003	-4,7402e-002	0,	0,
177	-1,5e-003	-4,7402e-002	0,	0,
178	-3,e-003	-5,e-002	0,	0,
179	-1,5e-003	-5,2598e-002	0,	0,
180	1,5e-003	-5,2598e-002	0,	0,
181	3,e-003	5,e-002	0,	0,
182	1,5e-003	5,2598e-002	0,	0,
183	-1,5e-003	5,2598e-002	0,	0,
184	-3,e-003	5,e-002	0,	0,
185	-1,5e-003	4,7402e-002	0,	0,
186	1,5e-003	4,7402e-002	0,	0,
187	-4,8733e-002	3,6739e-019	0,	0,
188	-5,0233e-002	2,5981e-003	0,	0,
189	-5,3233e-002	2,5981e-003	0,	0,
190	-5,4733e-002	8,6736e-019	0,	0,
191	-5,3233e-002	-2,5981e-003	0,	0,
192	-5,0233e-002	-2,5981e-003	0,	0,
193	5,4733e-002	3,6739e-019	0,	0,
194	5,3233e-002	2,5981e-003	0,	0,
195	5,0233e-002	2,5981e-003	0,	0,
196	4,8733e-002	8,6736e-019	0,	0,
197	5,0233e-002	-2,5981e-003	0,	0,
198	5,3233e-002	-2,5981e-003	0,	0,
199	3,e-002	3,6739e-018	0,	5,0398e-006
200	2,8888e-002	8,0939e-003	0,	5,2139e-006
201	2,5633e-002	1,5588e-002	0,	5,4682e-006
202	2,0477e-002	2,1925e-002	0,	5,6236e-006
203	1,3802e-002	2,6637e-002	0,	5,2595e-006
204	6,1037e-003	2,9373e-002	0,	5,1581e-006
205	-2,0473e-003	2,993e-002	0,	4,9453e-006
206	-1,0046e-002	2,8268e-002	0,	5,2071e-006
207	-1,73e-002	2,4509e-002	0,	5,5944e-006
208	-2,3271e-002	1,8933e-002	0,	5,6902e-006
209	-2,7516e-002	1,1952e-002	0,	5,6839e-006
210	-2,9721e-002	4,085e-003	0,	5,5466e-006
211	-2,9721e-002	-4,085e-003	0,	5,5979e-006
212	-2,7516e-002	-1,1952e-002	0,	5,6076e-006
213	-2,3271e-002	-1,8933e-002	0,	5,6063e-006
214	-1,73e-002	-2,4509e-002	0,	5,504e-006
215	-1,0046e-002	-2,8268e-002	0,	5,2052e-006
216	-2,0473e-003	-2,993e-002	0,	5,1595e-006
217	6,1037e-003	-2,9373e-002	0,	5,2281e-006
218	1,3802e-002	-2,6637e-002	0,	5,4149e-006
219	2,0477e-002	-2,1925e-002	0,	5,6835e-006
220	2,5633e-002	-1,5588e-002	0,	5,5596e-006
221	2,8888e-002	-8,0939e-003	0,	5,2374e-006
222	3,e-002	3,6739e-018	1,e-002	5,4945e-006
